S.NO,Item,URL,QTY,Price(NPR),Total(NPR into USD)
1,0.96inch OLED Display Module SSD1306,https://s.daraz.com.np/s.EFu4,1,818,
2,ESP32 C3 Super mini,https://s.daraz.com.np/s.EvZ3,1,1007,
3,Lithium Rechargeable battery 3.7V 100 mAh,https://s.daraz.com.np/s.Evbs,1,250,
4,Touch Sensor,https://s.daraz.com.np/s.EvYh,1,47,
5,Type-C Lithium Battery Charger Module Board,https://s.daraz.com.np/s.EvYy,1,115,
6,Mpu9250,https://s.daraz.com.np/s.EAtm,1,1406,
7,Max98357,https://s.daraz.com.np/s.EAto,1,864,
8,speaker,https://s.daraz.com.np/s.EAtL,1,1751,
9,switch,https://s.daraz.com.np/s.EAtJ,1,79,
,Delivery charge & discounts,, ,751,
,Grand Total,, ,7088,49.21
